level,Avg time spent (minutes),Median time spent (minutes),Cumulative avg time spent (minutes),%User having more than one attempt,avg attempts,median attempts
84,0.8072222222222222,0.8166666666666667,115.03192205864437,0.03333333333333333,1.0333333333333334,1
85,2.208888888888889,1.6,117.24081094753326,0.1,1.1333333333333333,1
86,1.2499999999999998,0.9833333333333333,118.49081094753326,0.034482758620689655,1.0344827586206897,1
87,2.9304597701149424,1.95,121.4212707176482,0.13793103448275862,1.3103448275862069,1
88,0.5793103448275863,0.5833333333333334,122.00058106247579,0,1,1
89,0.3827586206896552,0.38333333333333336,122.38333968316545,0.034482758620689655,1.0344827586206897,1
90,2.179310344827586,1.6833333333333333,124.56265002799303,0.20689655172413793,1.4137931034482758,1
91,1.7448275862068967,1.5333333333333334,126.30747761419993,0.034482758620689655,1.0689655172413792,1
92,3.1107142857142853,2.3666666666666667,129.4181918999142,0.1724137931034483,1.4827586206896552,1
93,0.4511494252873563,0.43333333333333335,129.86934132520156,0,1,1
94,0.7105555555555557,0.6666666666666666,130.5798968807571,0,1,1
95,0.4816666666666666,0.4833333333333333,131.06156354742376,0.03333333333333333,1.0333333333333334,1
96,0.3811111111111111,0.36666666666666664,131.44267465853488,0,1,1
97,11.911666666666662,2.8333333333333335,143.35434132520155,0.43333333333333335,2.566666666666667,1
98,0.9005555555555554,0.8,144.2548968807571,0.06666666666666667,1.0666666666666667,1
99,3.0172222222222227,1.3833333333333333,147.2721191029793,0.03333333333333333,1.0666666666666667,1
100,2.5850574712643675,1.35,149.85717657424368,0,0.9666666666666667,1
101,0.5011494252873564,0.4666666666666667,150.35832599953105,0,0.9655172413793104,1
102,1.6122222222222222,1.4166666666666667,151.97054822175326,0.03333333333333333,1.0333333333333334,1
103,7.297023809523809,2.6333333333333333,159.26757203127707,0.25,1.3214285714285714,1
104,5.548850574712643,3.3666666666666667,164.81642260598971,0.2413793103448276,1.896551724137931,1
105,1.4746913580246912,1.35,166.29111396401441,0,1,1
106,2.831609195402299,1.2333333333333334,169.12272315941672,0,0.9655172413793104,1
107,3.418390804597702,0.9166666666666666,172.54111396401441,0,1,1
108,2.8178160919540227,2.2333333333333334,175.35893005596844,0.1724137931034483,1.2758620689655173,1
109,0.6873563218390804,0.7,176.04628637780752,0.034482758620689655,1.0344827586206897,1
110,6.758045977011494,2.466666666666667,182.80433235481902,0.1724137931034483,2.2413793103448274,1
111,1.5208333333333328,1.4333333333333333,184.32516568815237,0.03571428571428571,1.0357142857142858,1
112,1.4541666666666668,1.2,185.77933235481905,0.03571428571428571,1.1071428571428572,1
113,2.4603448275862068,1.6833333333333333,188.23967718240525,0.06896551724137931,1.0689655172413792,1
114,1.039655172413793,0.9666666666666667,189.27933235481905,0,1,1
115,0.5229885057471264,0.45,189.80232086056617,0,1,1
116,1.6120689655172413,1.2,191.4143898260834,0.10344827586206896,1.1379310344827587,1
117,1.1029761904761906,1.1333333333333333,192.5173660165596,0.10714285714285714,1.1071428571428572,1
118,8.114942528735634,2.15,200.63230854529525,0.06896551724137931,1.1724137931034482,1
119,3.668390804597701,1.2666666666666666,204.30069934989294,0.034482758620689655,1.0344827586206897,1
120,2.1551724137931036,1.6166666666666667,206.45587176368605,0.034482758620689655,1.0344827586206897,1
121,0.8350574712643678,0.8166666666666667,207.29092923495043,0.034482758620689655,1.0344827586206897,1
122,0.7212643678160917,0.6666666666666666,208.01219360276653,0,1,1
123,1.0017241379310344,0.9166666666666666,209.01391774069756,0.034482758620689655,1.0344827586206897,1
124,3.1220238095238093,2.5833333333333335,212.13594155022136,0.13793103448275862,1.1379310344827587,1
125,1.1964285714285712,0.9666666666666667,213.33237012164994,0.07142857142857142,1.1428571428571428,1
126,1.3543209876543212,1.15,214.68669110930426,0.037037037037037035,1.037037037037037,1
127,2.7290123456790116,2.0833333333333335,217.4157034549833,0.17857142857142858,1.25,1
128,0.5185185185185185,0.48333333333333334,217.9342219735018,0,1,1
129,1.754320987654321,1.4666666666666666,219.68854296115612,0,1,1
130,1.9820987654320992,1.3666666666666667,221.67064172658823,0.1111111111111111,1.1111111111111112,1
131,4.282692307692307,1.9333333333333333,225.95333403428054,0.037037037037037035,1.037037037037037,1
132,1.1593333333333333,0.65,227.11266736761388,0,1,1
133,0.99,0.8833333333333333,228.1026673676139,0,1,1
134,0.49,0.4166666666666667,228.5926673676139,0,1,1
135,2.5140000000000002,1.9166666666666667,231.1066673676139,0,1,1
136,8.30133333333333,2.6,239.40800070094724,0.16,1.96,1
137,1.714666666666667,1.5166666666666666,241.1226673676139,0.04,1.04,1
138,8.23653846153846,1.6833333333333333,249.35920582915236,0.038461538461538464,1.0384615384615385,1
139,1.233974358974359,1.0166666666666666,250.59318018812672,0,1,1
140,0.9794871794871796,0.9333333333333333,251.57266736761392,0,1,1
141,0.8553333333333332,0.85,252.42800070094725,0,1,1
142,0.7606666666666666,0.7,253.18866736761393,0.08,1.08,1
143,1.9520833333333334,1.7,255.14075070094725,0.041666666666666664,1.0416666666666667,1
144,3.591333333333334,2.8333333333333335,258.7320840342806,0.12,1.32,1
145,0.9895833333333331,0.95,259.7216673676139,0,1,1
146,1.6791666666666665,1.5166666666666666,261.4008340342806,0.08333333333333333,1.0833333333333333,1
147,8.177536231884059,3.6,269.57837026616465,0.2608695652173913,1.6521739130434783,1
148,0.8202898550724637,0.7333333333333333,270.3986601212371,0,1,1
149,0.5257575757575759,0.5333333333333333,270.9244176969947,0,1,1
150,1.528030303030303,1.2833333333333334,272.45244800002496,0.043478260869565216,1.0434782608695652,1
151,0.7888888888888889,0.7166666666666667,273.24133688891385,0.09090909090909091,1.1363636363636365,1
152,1.9772727272727268,1.4333333333333333,275.2186096161866,0.09090909090909091,1.1363636363636365,1
153,2.7583333333333333,2.3333333333333335,277.9769429495199,0.2916666666666667,1.3333333333333333,1
154,2.7687499999999994,1.0166666666666666,280.74569294951993,0.08333333333333333,1.0416666666666667,1
155,1.091666666666667,1.05,281.8373596161866,0,1,1
156,0.863888888888889,0.8166666666666667,282.70124850507545,0,1,1
157,1.9789855072463767,1.5666666666666667,284.6802340123218,0.043478260869565216,1.0434782608695652,1
158,6.091304347826085,2.5166666666666666,290.77153836014793,0.13043478260869565,1.1304347826086956,1
159,3.8739130434782605,2.2666666666666666,294.64545140362617,0.13043478260869565,1.3043478260869565,1
160,1.0521739130434782,0.9166666666666666,295.69762531666964,0,1,1
161,2.7230158730158736,1.7,298.4206411896855,0.09523809523809523,1.0952380952380953,1
162,1.2571428571428571,1.1333333333333333,299.6777840468284,0,1,1
163,1.5916666666666663,1.6,301.269450713495,0,1,1
164,2.4883333333333333,1.3666666666666667,303.75778404682836,0.05,1.1,1
165,2.556666666666667,1.9833333333333334,306.31445071349503,0.2,1.5,1
166,4.444166666666666,2.35,310.7586173801617,0.15,1.4,1
